date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:09:33	168603/168603	---M--	200	added ('OK')	image/jpeg	etag:%22c1785c45e42d3c07b853f2b05842dff2%22	https://my-shop-sigma-black.vercel.app/img/slider_02.jpg	C:/My%20Web%20Sites/andyshop/my-shop-sigma-black.vercel.app/img/slider_02.jpg	(from https://my-shop-sigma-black.vercel.app/)
13:09:34	75073/75073	---M--	200	added ('OK')	image/png	etag:%2261a06244e9f72ef83acb844f2ae34143%22	https://my-shop-sigma-black.vercel.app/img/guide_01.png	C:/My%20Web%20Sites/andyshop/my-shop-sigma-black.vercel.app/img/guide_01.png	(from https://my-shop-sigma-black.vercel.app/)
13:09:36	47246/47246	---M--	200	added ('OK')	image/jpeg	etag:%224b719dfac575f109e7b1d48b90cafc15%22	https://my-shop-sigma-black.vercel.app/img/product_06.jpg	C:/My%20Web%20Sites/andyshop/my-shop-sigma-black.vercel.app/img/product_06.jpg	(from https://my-shop-sigma-black.vercel.app/)
13:09:36	110271/110271	---M--	200	added ('OK')	image/png	etag:%227e5b242610ba37a54ac94f2eb7c11440%22	https://my-shop-sigma-black.vercel.app/img/guide_02.png	C:/My%20Web%20Sites/andyshop/my-shop-sigma-black.vercel.app/img/guide_02.png	(from https://my-shop-sigma-black.vercel.app/)
13:09:37	67436/67436	---M--	200	added ('OK')	image/png	etag:%2215739ac356d3b8451f6552162afd83aa%22	https://my-shop-sigma-black.vercel.app/img/guide_03.png	C:/My%20Web%20Sites/andyshop/my-shop-sigma-black.vercel.app/img/guide_03.png	(from https://my-shop-sigma-black.vercel.app/)
13:09:37	56552/56552	---M--	200	added ('OK')	image/jpeg	etag:%2248c2d0f8cea736682ada5ae6ab321b7c%22	https://my-shop-sigma-black.vercel.app/img/product_06b.jpg	C:/My%20Web%20Sites/andyshop/my-shop-sigma-black.vercel.app/img/product_06b.jpg	(from https://my-shop-sigma-black.vercel.app/)
13:09:38	64103/64103	---M--	200	added ('OK')	image/jpeg	etag:%220e0a00fda7782883b81fd046fa70b3ed%22	https://my-shop-sigma-black.vercel.app/img/product_07b.jpg	C:/My%20Web%20Sites/andyshop/my-shop-sigma-black.vercel.app/img/product_07b.jpg	(from https://my-shop-sigma-black.vercel.app/)
13:09:39	48891/48891	---M--	200	added ('OK')	image/jpeg	etag:%227d5a722d3ecefe6adbb1049916964abe%22	https://my-shop-sigma-black.vercel.app/img/product_07.jpg	C:/My%20Web%20Sites/andyshop/my-shop-sigma-black.vercel.app/img/product_07.jpg	(from https://my-shop-sigma-black.vercel.app/)
13:09:40	52831/52831	---M--	200	added ('OK')	image/jpeg	etag:%2242ba33ec3d83bc81552fb23e1eef3f2f%22	https://my-shop-sigma-black.vercel.app/img/product_08.jpg	C:/My%20Web%20Sites/andyshop/my-shop-sigma-black.vercel.app/img/product_08.jpg	(from https://my-shop-sigma-black.vercel.app/)
13:09:40	36219/36219	---M--	200	added ('OK')	image/jpeg	etag:%2271d8de1150e3a0613ad15bacc4bde944%22	https://my-shop-sigma-black.vercel.app/img/product_05.jpg	C:/My%20Web%20Sites/andyshop/my-shop-sigma-black.vercel.app/img/product_05.jpg	(from https://my-shop-sigma-black.vercel.app/)
